====================
 System property BELSORP-miniX 1.0.6.0
====================
"Instrument S/N:"	10009
"Vs/ml:"	12.389
====================
 Measurement condition
====================
"Adsorptive:"	N2
"Meas. Temp./K:"	77.35
"Molecular cross-sectional area/nm2:"	0
"Molecular weight of adsorbate:"	0.00
"Equilibrium time/sec:"	0
"Measurement mode:"	2
====================
 Sample information
====================
"Sample weight/g:"	0.05880
"Comment1:"	""
"Comment2:"	""
"Comment3:"	""
"Comment4:"	"Leak amount : 8.582E-1Pa/Min, Vacuum degree before measurement:6.047E-1Pa"
"as/m2 g-1:"	0.0000
"Molecular weight of adsorbent:"	0.00
====================
 Time and dead volume
====================
"Date of measurement:"	20/12/29
"Time of measurement:"	10:52:44
"Slope of dead volume:"	-1.5864E-6
"Intercept of dead volume:"	1.7657E+1
"Average dead volume:"	17.550
====================
 Adsorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"	
1	-1.0910E-3	100.08	17.503	5.1432	
2	-3.2429E-3	100.08	17.493	10.450	
3	-2.6942E-3	100.07	17.486	15.645	
4	-2.2982E-3	100.05	17.476	21.030	
5	-3.7153E-3	100.03	17.468	26.418	
6	-3.5165E-3	99.993	17.457	31.797	
7	-3.8473E-3	99.965	17.447	37.072	
8	-3.4131E-3	99.952	17.435	42.435	
9	-2.5733E-3	99.934	17.423	47.803	
10	-2.6529E-3	99.929	17.416	52.945	
11	-2.9773E-3	99.897	17.416	58.202	
12	-3.1793E-3	99.896	17.405	63.556	
13	-1.6684E-3	99.855	17.395	68.735	
14	-2.1789E-3	99.857	17.382	74.409	
15	-1.1117E-3	99.851	17.375	79.651	
16	-1.5714E-3	99.842	17.366	84.963	
17	1.4049E-3	99.846	17.353	90.266	
18	2.2056E-3	99.838	17.348	95.581	
19	1.9236E-3	99.839	17.343	100.71	
20	5.5574E-3	99.844	17.332	105.79	
21	6.3508E-3	99.820	17.319	111.34	
22	1.7251E-2	99.803	17.315	116.88	
23	3.1041E-2	99.805	17.298	122.17	
24	4.7741E-2	99.812	17.292	127.48	
25	5.8905E-2	99.823	17.286	130.06	
26	9.3372E-2	99.826	17.268	135.32	
27	1.7205E-1	99.820	17.264	140.43	
28	2.5902E-1	99.818	17.259	143.75	
29	4.7038E-1	99.794	17.252	149.01	
30	5.4812E-1	99.773	17.244	149.89	
31	8.2141E-1	99.814	17.228	153.21	
32	1.0443	99.812	17.217	154.78	
33	2.0380	99.790	17.217	159.95	
34	3.0028	99.790	17.217	162.81	
35	4.0696	99.782	17.221	165.22	
36	5.1307	99.783	17.223	167.11	
37	7.6483	99.786	17.234	170.35	
38	10.039	99.811	17.246	172.72	
39	12.599	99.780	17.258	174.73	
40	15.078	99.793	17.268	176.43	
41	17.661	99.773	17.276	178.00	
42	19.926	99.750	17.286	179.18	
43	22.432	99.806	17.297	180.41	
44	24.985	99.778	17.308	181.59	
45	27.492	99.747	17.318	182.69	
46	30.003	99.751	17.330	183.69	
47	34.812	99.741	17.355	185.42	
48	39.829	99.754	17.380	187.11	
49	44.893	99.793	17.406	188.72	
50	49.932	99.744	17.433	190.22	
51	54.942	99.742	17.459	191.62	
52	59.990	99.761	17.485	192.88	
53	64.994	99.740	17.511	194.18	
54	69.985	99.780	17.538	195.47	
55	75.342	99.755	17.567	197.09	
56	80.288	99.756	17.595	198.88	
57	85.096	99.773	17.621	201.36	
58	89.808	99.783	17.645	204.89	
59	95.308	99.804	17.672	211.51	
60	97.347	99.769	17.676	219.93	
61	98.783	99.759	17.674	239.23	
62	99.698	99.765	17.675	267.76	
0	0	0	0	0	
====================
 Desorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"	
1	98.966	99.759	17.672	260.99	
2	98.024	99.749	17.660	234.91	
3	96.832	99.774	17.646	221.26	
4	93.788	99.783	17.626	212.09	
5	89.599	99.836	17.600	206.34	
6	79.411	99.740	17.536	201.25	
7	74.136	99.789	17.504	199.41	
8	64.484	99.789	17.446	196.61	
9	59.522	99.790	17.417	195.52	
10	49.565	99.770	17.364	193.27	
11	45.005	99.802	17.340	190.95	
12	39.956	99.823	17.315	188.33	
0	0	0	0	0	
